name	label	sub_class	dynamic_state	cyclic_uid	age	world_width	world_height	lat_dist	long_dist	vert_dist	rel_vel_x	rel_acc_x	rel_vel_z	rel_acc_z	abs_vel_x	abs_acc_x	abs_vel_z	abs_acc_z	POS_LEFT_x	POS_LEFT_z	POS_CENTER_x	POS_CENTER_z	POS_RIGHT_x	POS_RIGHT_z	POS_DISTANT_x	POS_DISTANT_z	lane_association	conf	is_cipv	uid	eba_bitmask	vacc_quality	x_center	y_center	d3_separation	width	height	sf_confirmed	class_right_id	class_left_id	score	is_occluded	x_l	y_lt	y_lb	x_s	y_st	y_sb	x_r	y_rt	y_rb	matching_radar_cluster_top_left_x	matching_radar_cluster_top_left_z	matching_radar_cluster_width	matching_radar_cluster_height	matching_radar_cluster_is_static	matching_radar_cluster_center_x	matching_radar_cluster_center_z	update_type	reaction_profile	tracked_vel_x	tracked_vel_z	rc_raw_meas_x	rc_raw_meas_z	rc_tracked_pos_x	rc_tracked_pos_z	rc_tracked_vel_x	rc_tracked_vel_z	rc_tracked_acc_x	rc_tracked_acc_z	fd_raw_meas_x	fd_raw_meas_z	fd_tracked_pos_x	fd_tracked_pos_z	fd_tracked_vel_x	fd_tracked_vel_z	fd_tracked_acc_x	fd_tracked_acc_z	rc_weight_pos	rc_weight_kinematics	of_ittc_z	of_rel_vel_z	width_est	orientation	sf_orientation	cametra_origin	debug_field_0	debug_field_1	debug_field_2	
1687017794400019	2	1	1	0	13	1.79	1.42	-51.23	66.37	-2.35	3.35	-0.13	-4.45	-0.49	-1.58	-0.13	-1.08	0.20	-53.21	66.08	-51.44	66.37	-52.12	70.59	-53.89	70.30	0	0.000000	0	0	0x18C0	0	375.86	1047.43	369.24	133.07	42.56	1	1	0	69.740288	0	309.318970	1026.443115	1069.184570	369.238037	1026.149536	1068.707520	442.392578	1022.078369	1062.093994	-1.00	-1.00	-1.00	-1.00	0	0.00	0.00	2	0	-1.58	-8.26	-18.56	24.04	-18.56	24.04	-1.58	-8.26	-0.13	-0.49	-61.40	79.54	-52.03	66.47	-1.58	-8.26	-0.13	-0.49	0.002473	0.002473	0.000000	0.000000	1	2.800274	-0.157512	0	0.000000	0.000000	0.000000	
1687017794499815	2	1	1	0	14	1.79	1.42	-50.35	65.96	-2.30	4.06	-0.08	-4.24	-0.68	-1.27	-0.08	-1.04	0.20	-52.33	65.70	-50.57	65.97	-51.21	70.19	-52.98	69.92	0	0.000000	0	0	0x18C0	0	393.15	1046.27	386.31	133.56	42.82	1	1	0	40.851273	0	326.372925	1025.139893	1068.133179	386.307983	1024.864624	1067.681519	459.933472	1020.842529	1061.083862	-1.00	-1.00	-1.00	-1.00	0	0.00	0.00	2	0	-1.27	-8.31	-19.73	25.84	-19.73	25.84	-1.27	-8.31	-0.08	-0.68	-81.10	106.24	-51.16	66.06	-1.27	-8.31	-0.08	-0.68	0.002473	0.002473	0.000000	0.000000	1	2.808804	0.012482	0	0.000000	0.000000	0.000000	
1687017794600196	2	1	1	0	15	1.79	1.42	-49.65	65.57	-2.31	4.63	-0.04	-4.09	-0.74	-1.02	-0.04	-1.02	0.20	-51.63	65.32	-49.86	65.57	-50.47	69.80	-52.24	69.54	0	0.000000	0	0	0x18C0	0	405.74	1047.23	398.48	134.41	43.08	1	1	0	68.151489	0	338.529663	1025.960571	1069.204102	398.477539	1025.696045	1068.771240	472.942017	1021.595886	1062.062256	-1.00	-1.00	-1.00	-1.00	0	0.00	0.00	2	0	-1.02	-8.37	-18.80	24.82	-18.80	24.82	-1.02	-8.37	-0.04	-0.74	-55.87	73.78	-50.31	65.67	-1.02	-8.37	-0.04	-0.74	0.002473	0.002473	0.000000	0.000000	1	2.817926	-0.182066	0	0.000000	0.000000	0.000000	
1687017794699997	2	1	1	0	16	1.79	1.42	-49.18	65.19	-2.33	5.08	-0.03	-3.90	-0.67	-0.91	-0.03	-0.99	0.20	-51.16	64.96	-49.39	65.19	-49.96	69.43	-51.73	69.19	0	0.000000	0	0	0x18C0	0	412.09	1048.47	404.19	135.70	43.32	1	1	0	48.559967	0	344.238892	1027.061279	1070.544678	404.188721	1026.808105	1070.132202	479.937378	1022.613037	1063.295654	-1.00	-1.00	-1.00	-1.00	0	0.00	0.00	2	0	-0.91	-8.43	-18.45	24.45	-18.45	24.45	-0.91	-8.43	-0.03	-0.67	-57.94	76.79	-49.59	65.29	-0.91	-8.43	-0.03	-0.67	0.002473	0.002473	0.000000	0.000000	1	2.827571	-0.193802	0	0.000000	0.000000	0.000000	
1687017794800277	2	1	1	0	17	1.79	1.42	-48.41	64.84	-2.24	5.64	-0.00	-3.67	-0.64	-0.81	-0.00	-0.99	0.20	-50.40	64.62	-48.63	64.85	-49.15	69.08	-50.93	68.86	0	0.000000	0	0	0x18C0	0	427.92	1046.11	419.59	136.38	43.56	1	1	0	41.774647	0	359.728638	1024.557495	1068.264160	419.590942	1024.330322	1067.887817	496.112427	1020.260803	1061.146118	-1.00	-1.00	-1.00	-1.00	0	0.00	0.00	2	0	-0.81	-8.48	-19.35	25.92	-19.35	25.92	-0.81	-8.48	-0.00	-0.64	-89.10	119.32	-48.81	64.93	-0.81	-8.48	-0.00	-0.64	0.002473	0.002473	0.000000	0.000000	1	2.838014	-1.816619	0	0.000000	0.000000	0.000000	
1687017794900080	2	1	1	0	18	1.79	1.42	-47.60	64.47	-2.23	5.72	0.02	-3.81	-0.52	-0.68	0.02	-0.97	0.20	-49.59	64.28	-47.81	64.48	-48.30	68.72	-50.08	68.52	0	0.000000	0	0	0x18C0	0	444.95	1046.14	436.23	137.02	43.80	1	1	0	74.354057	0	376.444702	1024.443604	1068.386841	436.234619	1024.233643	1068.037964	513.459717	1020.143982	1061.243530	-1.00	-1.00	-1.00	-1.00	0	0.00	0.00	2	0	-0.68	-8.53	-19.08	25.84	-19.08	25.84	-0.68	-8.53	0.02	-0.52	-81.09	109.82	-48.01	64.56	-0.68	-8.53	0.02	-0.52	0.002473	0.002473	0.000000	0.000000	1	2.848391	0.277807	0	0.000000	0.000000	0.000000	
1687017796199837	2	1	5	0	3	1.81	1.62	-51.59	80.28	-1.35	5.32	0.00	5.12	0.00	-2.68	0.00	7.71	-0.03	-54.36	80.64	-52.59	80.28	-51.73	84.53	-53.50	84.89	0	0.000000	0	2	0x1880	0	632.79	1004.46	608.85	124.21	40.36	1	1	0	79.597542	0	570.680420	984.168640	1024.343994	608.853882	984.285950	1024.641479	694.892578	982.964294	1021.290527	-1.00	-1.00	-1.00	-1.00	0	0.00	0.00	1	0	-2.68	-0.02	-25.61	39.83	-25.61	39.83	-2.68	-0.02	0.00	0.00	-49.42	76.85	-51.59	80.28	-2.68	-0.02	0.00	0.00	0.000000	0.000000	0.000000	0.000000	1	-2.941857	0.135374	1	0.000000	0.000000	0.000000	
1687017796300156	2	1	5	0	4	1.79	1.55	-52.90	83.23	-1.37	4.43	0.00	5.21	0.00	-3.73	0.00	7.76	-0.03	-55.45	83.50	-53.68	83.24	-53.06	87.48	-54.83	87.74	0	0.000000	0	2	0x1880	0	648.20	1004.05	629.15	114.77	37.26	1	1	0	75.018692	0	590.815918	985.340454	1022.482117	629.150269	985.425476	1022.682739	705.583252	984.097595	1019.551025	-1.00	-1.00	-1.00	-1.00	0	0.00	0.00	2	0	-3.73	0.02	-25.10	39.49	-25.10	39.49	-3.73	0.02	0.00	0.00	-56.89	89.51	-52.87	83.23	-3.73	0.02	0.00	0.00	0.000000	0.000000	0.000000	0.000000	1	-2.932030	0.567921	0	0.000000	0.000000	0.000000	
1687017796400132	2	1	5	0	5	1.79	1.55	-50.79	80.96	-1.32	4.24	0.00	4.74	-0.03	-3.33	0.00	7.76	-0.03	-53.34	81.25	-51.57	80.98	-50.91	85.21	-52.68	85.48	0	0.000000	0	2	0x18C0	0	664.86	1004.18	645.17	117.64	38.30	1	1	0	69.326530	0	606.039429	984.937500	1023.107178	645.165649	985.029175	1023.328735	723.677734	983.687561	1020.086182	-1.00	-1.00	-1.00	-1.00	0	0.00	0.00	2	0	-3.33	-0.01	-25.27	40.28	-25.27	40.28	-3.33	-0.01	0.00	-0.03	-46.87	74.71	-50.78	80.96	-3.33	-0.01	0.00	-0.03	0.000000	0.000000	0.000000	0.000000	1	-2.922691	-0.079589	0	0.000000	0.000000	0.000000	
1687017796499902	2	1	5	0	6	1.79	1.55	-49.02	78.99	-1.33	3.92	-0.00	4.14	-0.09	-2.90	-0.00	7.66	-0.03	-51.56	79.30	-49.80	79.01	-49.10	83.23	-50.87	83.52	0	0.000000	0	2	0x18C0	0	678.52	1005.60	658.18	120.33	39.25	1	1	0	62.863541	0	618.350952	985.866821	1024.976929	658.183228	985.969360	1025.223511	738.681763	984.550110	1021.812256	-1.00	-1.00	-1.00	-1.00	0	0.00	0.00	2	0	-2.90	-0.09	-23.77	38.30	-23.77	38.30	-2.90	-0.09	-0.00	-0.09	-44.89	72.33	-49.00	78.99	-2.90	-0.09	-0.00	-0.09	0.000000	0.000000	0.000000	0.000000	1	-2.914084	-0.073799	0	0.000000	0.000000	0.000000	
